Positive Melanoma Markers	Positive Brain melanoma Markers	All Distinguishing Markers
		ap3s2
		ogfr
		gon4l
		etv5b
		si:ch211-183d5.2
		grn1
		cd74a
		pfn1
		cd74b
		mhc2a
		lgals2a
		cotl1
		fcer1gl
		lgals3bpb
		marcksl1a
		arpc1b
		ctss2.2
		c1qc
		spi1b
		ctsba
		ccl34b.8
		zgc:77650
		txn
		lygl1
		c1qb
		arhgdig
		actb1
		ccl34b.1
		ponzr1
		psap
		clic2
		c1qa
		ctss2.1
		atp6v1g1
		fcer1g
		ckbb
		NPC2
		lgals9l1
		arpc2
		litaf
		marco
		rap1b
		si:dkey-188i13.6
		ifi30
		zgc:103700
		arpc3
		zgc:152791
		CABZ01073795.1
		coro1a
		cebpb
		si:dkey-7i4.24
		atp6v1e1b
		rac2
		scpep1
		si:dkey-27i16.2
		si:ch211-102c2.4
		mhc2dab
		fabp3
		lcp1
		zgc:64051
		si:ch211-212k18.7
		pycard
		xaf1
		tmsb4x
		laptm5
		spi1a
		npc2
		krt18b
		si:dkeyp-1h4.6
		ptpn6
		arhgdia
		grna
		gng10
		tagln2
		cndp2
		actb2
		mapre1a
		mafbb
		srgn
		sdcbp2
		atp6v0ca
		cfl1
		arpc4l
		ms4a17a.10
		si:ch211-198c19.3
		slc22a21
		kctd12.2
		atp6v0e1
		arpc4
		myl12.1
		ccl34a.4
		ccl35.1
		tcima
		mpp1
		cdc42l
		hcls1
		anxa3b
		ppdpfb
		arpc5b
		lgmn
		zgc:174904
		selenop
		GCA
		stoml3b
		fgl2a
		lgals9l3
		ctsc
		grb2b
		ctsz
		histh1l
		si:dkey-5n18.1
		cebpa
		sec61b
		pepd
		bri3
		sftpbb
		ppiab
		ctsk
		zgc:162730
		ctsa
		si:ch211-250g4.3
		havcr1
		gabarapa
		zgc:123107
		ube2l3a
		gabarapb
		mhc2b
		anxa11b
		ppiaa
		cahz
		pmaip1
		f13a1b
		rnaseka
		scinlb
		sri
		lasp1
		tln1
		sec61g
		alas2
		wasb
		s100a10b
		psmb8a
		si:busm1-194e12.11
		mtpn
		capgb
		cyba
		gstt1a
		plekho1b
		si:ch211-283g2.2
		prdx6
		si:ch73-158p21.3
		tppp
		ctsh
		capza1b
		irf7
		stat1b
		rab8b
		ccl39.1
		mcl1b
		asah1b
		dpp7
		BX323596.2
		mafba
		itm2bb
		ctsd
		atp6v1ba
		fermt3b
		abracl
		fybb
		ccl39.5
		si:ch211-153b23.7
		samsn1a
		ppt1
		gnpda1
		psme2
		hck
		actr2a
		rhogb
		capza1a
		cxcr4b
		zgc:152830
		gig2d
		si:ch211-165i18.2
		rpz5
		anxa2a
		plek
		suclg1
		slc3a2a
		cnn2
		tcirg1b
		si:cabz01074946.1
		efhd2
		dnase2
		vat1
		irf8
		BX004816.2
		si:ch211-79k12.1
		fermt3a
		si:zfos-741a10.3
		ccl39.2
		si:dkey-88j15.3
		lyn
		COX7A2
		ostf1
		skap2
		si:dkey-102g19.3
		ogfrl2
		BX323596.1
		atp6ap2
		itgb2
		aplp2
		ncf4
		si:ch211-1o7.3
		rpl38
		pak2a
		gnai2a
		mef2cb
		atp6v1d
		psmb9a
		hmox1a
		grap2b
		mxc
		rpl29
		cxcl20
		gm2a
		cxcr3.2
		zgc:77486.1
		jpt2
		tuba8l2
		ehd4
		cyfip1
		si:dkey-40g16.6
		slc7a7
		rassf2a
		mrc1b
		psmb12
		jac9
		epdl1
		grapa
		slc35f6
		cfp
		mpeg1.1
		slc43a3b
		atp6v1h
		rbm47
		fabp11a
		srgap2
		tmem176l.4
		nccrp1
		DAB2
		sh3bgrl
		si:dkey-26c10.5
		si:ch1073-392o20.2
		itgae.1
		hspa8
		csf2rb
		elmo1
		atp6v1f
		anxa5b
		entpd1
		dbnlb
		ncf2
		blnk
		cxcl11.1
		apbb1ip
		rhoca
		napsa
		slc30a1a
		fuca2
		CABZ01068358.1
		antxr2a
		syk
		cx32.2
		grn2
		jac2
		enpp1
		rplp2
		ms4a17a.9
		atp6v0d1
		zgc:136870
		fam49al
		echdc2
		trpv1
		wipf1b
		rnaset2l
		atp6v1ab
		naga
		ccl39.6
		apoc1
		atp6v1aa
		mxb
		caspa
		ckba
		si:dkey-56f14.7
		zgc:64065
		abca1b
		snx10b
		zgc:92161
		ubl3b
		tmcc3
		slc2a6
		cfbl
		il1b
		slc37a2
		ncf1
		mfng
		hdac9b
		caspb
		swap70b
		ccl35.2
		serpinb1l1
		icam3
		nck1a
		plaua
		il1fma
		adgrg1
		cgas
		sowahd
		gpd1c
		cxcl11.5
		si:ch211-283g2.3
		plxnc1
		aoc2
		paox1
		apoeb
		rp2
		myo1f
		fabp7b
		luzp1
		gpc1b
		zgc:152753
		fgd4b
		timp4.3
		hlx1
		tfeb
		CU459094.3
		cxcl11.6.1
		zgc:64065.1
		mknk2a
		cyth3a
		CABZ01078737.1
		slc43a2b
		sla1a
		nrros
		cpvl
		si:ch211-147m6.1
		si:ch211-194m7.3
		aldh1a2
		vcanb
		gsdmea
		abhd12
		rgs2
		lta4h
		cmklr1
		tcea3
		si:dkey-33i11.1
		ptgis
		rin3
		jac3
		myh9a
		dicp3.1
		C7H19orf12.1
		cyth4b
		si:dkey-237j10.2
		si:dkey-58f10.7.1
		ccl39.7
		csf1ra
		acod1
		si:dkey-15j16.3
		card9
		galk1
		wee2
		slc66a1
		robo4
		mfap4
		zgc:172090
		itprid2
		tpp1
		baxa
		bin1b
		CABZ01041494.1
		alox5ap
		zgc:153184
		slc7a11
		si:dkey-18p12.4
		si:dkey-238d18.5
		si:dkey-79f11.7
		me1
		gig2h
		gnsb
		ccl38.1
		rbp2a
		ada2b
		sting1
		si:dkey-15j16.6
		FO704661.1
		hsd17b14
		rgn
		AL831726.2
		jac8
		pdgfba
		sgk2b
		si:ch73-343l4.2
		havcr2
		acp5a
		CABZ01088134.1
		tnfaip2b
		zgc:101699
		rassf4a
		si:dkey-222f2.7
		si:ch211-209f23.6
		glipr2
		si:ch73-111e15.1
		mcamb
		arhgef15
		slc4a2b
		caspbl
		BX640512.3
		dicp3.3
		calhm6
		abcg2a
		matk
		gda
		zgc:154125
		ccl34a.3
		cdx4
		loc564660
		p2ry12
		zgc:171534
		MFAP4.3
		dicp1.17
		rplp0
		rasgef1ba
		cd22
		rab5c
		tollip
		si:dkey-7i4.1
		gapdhs
		pigrl2.3.1
		tmsb1
		rnf144b
		pstpip1b
		si:dkey-79f11.10
		pik3r6a
		si:dkey-32n7.4
		cpne1
		anxa4
		gig2e
		rab11fip4b
		prkcdb
		pik3r5
		mpzl2b
		adgrg3
		wasf2
		si:ch211-276a23.5
		ephx2
		bach1b
		tnfb
		tlr8b
		unc93b1
		tlr1
		ccdc6b
		si:ch211-283g2.2.1
		si:dkey-25e12.3
		h3f3b.1.1
		stx11a
		si:dkey-16p21.8
		eepd1
		si:ch211-103n10.5
		nfe2l2a
		gstm.2
		dock4b
		peli1a
		parvg
		dicp2.1
		ms4a17a.6
		si:dkey-34d22.5
		snx5
		CABZ01020840.1
		psmb13a
		vaspb
		fam49bb
		hemgn
		cd63
		si:dkey-117a8.4
		FQ311879.1
		zgc:110239
		chmp4bb
		rps28
		zgc:101810
		crip1
		glb1l
		si:dkey-69o16.5
		socs1b
		clic1
		scinla
		chmp2bb
		ubc
		ecm1b
		smox
		FO904898.3
		b2m
		si:dkey-102c8.3
		txndc17
		si:dkey-148a17.6
		mhc1lda
		cxcl8b.1
		tyrobp
		il6r
		sec14l8
		lamtor5
		zgc:123010
		uap1l1
		rplp1
		unm-sa911
		si:ch211-243a20.4
		tnfsf12
		evla
		lmcd1
		rdh12l
		map3k21
		hp.1
		psmb10
		serpinb1l3
		snx3
		rab42b
		prdx5
		akr1b1.2
		si:zfos-2326c3.2
		mob1bb
		Sep-02
		si:dkey-79f11.8
		cpox
		si:dkey-56m19.5
		si:dkey-148a17.5
		pla2g4f.1
		ptk6b
		SCARF2
		gdi2
		atp6v1c1a
		si:dkeyp-9d4.2
		gtpbp4
		mertka
		rab44
		rnf213a
		tpte
		xcr1a.1
		yrk
		sh3bgrl3
		glrx
		niban2b
		rgs13
		si:dkey-265e15.2
		ccl19a.1
		h1-10
		jak1
		si:dkey-188i13.8
		zgc:162944
		trim35-10
		si:ch73-237c6.1
		ctns
		si:dkey-204f11.64
		aif1l
		tgfbi
		id3
		si:dkey-58f10.6
		slc25a5
		si:dkey-112e7.2
		si:ch73-380l3.4
		si:ch211-139g16.8
		eef1db
		bhlhe40
		entpd2a.1
		cd7al
		si:ch73-267c23.10
		pacsin2
		nt5c2l1
		tnfrsf11b
		plekho2
		ccl39.3
		cd276
		ppp1r18
		ptmaa
		C1H4orf33
		plekhb2
		elovl1b
		atp6v0b
		dhrs9
		lgals17
		etv4
		fam49ba
		rpl24
		rps27l
		vsir
		cldn5b
		mycn
		ugp2b
		arf2a
		si:dkey-187i8.2
		itgae.2
		tubb4b
		epb41b
		cd180
		mxf
		prss16
		socs7
		atp6ap1b
		sh3gl3a
		zgc:64002
		dap1b
		si:ch211-278p9.3
		coro1ca
		ssuh2rs1
		uevld
		ddx21
		si:dkey-118k5.3
		BX321875.4
		gpr84
		si:ch1073-67j19.2
		rab20
		rps5
		smim14
		dnajc5ab
		sox4a.1
		tuba8l3
		casp21
		rhbdf1a
		csf3r
		arhgap33
		zgc:101806
		jac6
		me2
		ube2l3b
		rab2a
		vmp1
		pxdc1b
		OSBP2
		p2rx7
		si:dkey-4c23.5
		abcf1
		csrp1a
		cox6b1
		zfp36l1b
		micall2b
		myo9ab
		tmem106a
		stat5a
		dhx58
		irgf3
		bsg
		plp2
		adam9
		si:ch211-197g15.6.2
		Mar-08
		npl
		kynu
		hsp90aa1.2
		si:dkey-24p1.7
		TXN
		rpl7
		si:ch73-158p21.2
		arhgap12a
		wbp2nl
		gbp1
		slc38a7
		chd7
		pstpip2
		mrpl12
		hbegfb
		si:dkey-16l2.16
		pax3a
		hic1
		hnrnpabb
		epb41l3b
		slc4a1a
		psen2
		pacc1
		itgam
		ywhabl
		npm1a
		tspo
		si:ch211-207c6.2
		tescb
		si:dkey-42l23.9
		atg3
		C7H20orf27
		bin2b
		slc39a1
		xpnpep2
		klf2a
		adrb2a
		rsl24d1
		rpl22
		si:ch73-380l3.3
		dip2ba
		nfkbie
		ywhaba
		sult1st1
		abi2b
		enosf1
		rab22a
		hexb
		dram2b
		tsg101b
		usp38
		pdcd6
		kdm7aa
		ptprc
		tnfaip8l2a
		phlda2
		tfap2e
		arhgap29b
		blvrb
		mao
		gnai1
		arl6ip1
		si:rp71-68n21.9
		npepl1
		cxcl11.6
		acap2
		snap23.1
		rpl10
		irak3
		cox7c
		inpp5d
		zgc:163057
		exoc3l2b
		pmp22a
		hmgb1b
		ttc39c
		sb:cb1058
		lgals2b
		si:ch73-383g2.1
		mitfb
		zgc:56095
		mapk11
		moxd1
		prdm1a
		pdia3
		sinup
		actr3
		Sep-12
		plin2
		si:ch73-55i23.1
		pde4ba
		trim105
		zgc:171772
		si:ch211-256m1.8
		pfn2l
		alas1
		mbnl3
		uqcrq
		gstp1
		llgl2
		ost4
		sult5a1
		antxr1c
		mtss1
		rsrp1
		C19H6orf62
		cox6c
		acin1a
		atp5md
		zmp:0000000608
		lamtor4
		arl4cb
		pglyrp5
		brd2a
		rxrgb
		CABZ01021532.1
		mapk14a
		cybb
		rps29
		rpl30
		fut7
		elovl5
		arg2
		pitpnaa
		tmem42a
		rab1ab
		ngfrb
		pxna
		zgc:152863
		marcksb
		si:dkey-192g7.3
		cbx3a
		rarres3l
		CR385050.1
		camk1b
		ano9a
		pno1
		ralbb
		rps15a
		ptprea
		mpeg1.2
		calm1b
		mob1a
		smdt1b
		si:ch73-160h15.3
		arrb2b
		si:ch73-40a2.1
		arf6b
		ccr12b.1
		b2ml
		h2az2b
		zgc:110339
		nop56
		rgs18
		atp6v1c1b
		NCKAP1L
		lrp1ab
		bloc1s2
		nsa2
		nagk
		atf4a
		slc40a1
		hspa12b
		zgc:153733
		hopx
		si:ch1073-184j22.1
		si:dkey-188i13.10
		si:dkey-58f10.11
		snrpd1
		clta
		sat1a.2
		si:dkey-1c7.1
		BX682234.1
		nanos1
		rpl11
		fnip1
		pdcd10a
		emp3b
		naca
		abi3a
		si:ch73-160i9.3
		arhgap42b
		si:dkey-42i9.6
		gpm6ab
		pikfyve
		si:ch211-269k10.5
		atp6v1e1a
		LO018340.1
		grap2a
		eif3i
		nck1b
		DHDH
		tmem258
		si:rp71-36a1.5.1
		arhgap4a
		rbck1
		illr1
		kmt2bb
		hmgn3
		sgpp1
		mospd2
		eno1a
		glud1b
		ppp1r12a
		cavin1b
		irf5
		rpl15
		myo9b
		hyal1
		pik3cb
		si:dkey-262k9.4
		ppm1j
		FO393424.1
		chst15
		syt11a
		rps18
		tuba8l4
		mbd2
		si:dkey-16p6.1.17
		twistnb
		stat1a
		mid1ip1l
		dennd4a
		dnajc1
		mcl1a
		wdfy4
		si:cabz01036022.1
		cst14a.2
		gstm.1
		zfr2
		si:dkey-30j10.5
		tox
		si:ch211-227m13.1
		dse
		mycb
		crestin
		eef2b
		si:ch211-122f10.4
		hk2
		tsc22d3
		pi4k2a
		si:ch211-152p11.4
		sh3glb1a
		csde1
		cbl
		tfec
		tmem199
		ddx5
		zgc:153372
		git2b
		si:dkey-83k24.5
		pla2g7
		cnp
		sparc
		larp6a
		id1
		tspan37
		tcnbb
		dennd2db
		dkc1
		g0s2
		bmp2k
		hmgn6
		CABZ01044156.1
		si:dkey-9i23.15
		hmgn2
		sox10
		ifngr2
		serbp1a
		ywhah
		cirbpb
		dnase1l1
		nop58
		zgc:153654
		cnbpa
		rgl1
		zbtb7b
		ace
		ppp1r10
		tmsb2
		mcoln1a
		rdh8a
		dok2
		gsna
		washc2c
		plekha3
		arrdc2
		sb:cb81
		hmgb2a
		grasp
		ccl34b.9
		brdt
		si:ch211-233m11.1
		vps37c
		plekhj1
		pitpnc1b
		ccr12a
		aqp1a.1
		rhoab
		si:ch211-196l7.4
		si:ch211-288g17.3
		aldoaa
		slc15a4
		arhgef7b
		tmed5
		atp13a2
		ssr3
		arhgap45b
		gp9
		prkab1b
		irs2b
		si:dkey-256h2.1
		cd59
		csf3a
		rab7b
		hephl1a
		pcbp2
		smim15
		dedd1
		themis2
		grinab
		ak4
		pcbd1
		znf710a
		snx9b
		tgm1l1
		mrc1a
		spag1a
		CU570894.1
		ywhabb
		socs3a
		calm2a
		atp5l
		def8
		zfhx3
		si:ch211-217k17.12
		unm-sa1614
		cyp2k8
		LRATD2
		tmod4
		pleca
		mrtfab
		si:ch73-335l21.4
		ecrg4a
		si:ch211-166a6.5
		tmsb
		pkig
		si:dkey-33i11.9
		gnaia
		sla2
		C18H15orf48
		cx43
		arl4aa
		foxq1b
		glo1
		plekhf1
		eif3jb
		selenow1
		si:dkeyp-23e4.3
		ash1l
		elocb
		si:dkey-188i13.11
		cxxc5a
		cxcr1
		tesca
		hmgb3a
		vma21
		lipf
		pttg1ipb
		rab11a
		btk
		rbpjb
		pprc1
		COX5B.1
		gale
		h1-0
		si:dkey-239h2.3
		smim29
		sgpl1
		zbtb20
		tpi1b
		serf2
		cxcl19
		tspan36
		slc16a9a
		zap70
		qkia
		krtcap2
		spry4
		lamp2
		lmo2
		stk17al
		ndrg1a
		si:ch211-201h21.5
		trpm1b
		mibp
		il15ra
		stk17b
		plbd1
		ivns1abpa
		si:dkey-31f5.8
		rabep2
		abca1a
		C5H11orf54
		guk1a
		rps15
		rps19bp1
		ptgr1
		mitfa
		ap2s1
		rab5aa
		psmf1
		kdm6bb
		alx4a
		ptpn4a
		mical3b
		il10ra
		stmn1a
		si:ch211-133n4.4
		si:ch211-222l21.1
		etfb
		zeb2a
		snap23.2
		dusp7
		eif1
		cd2ap
		cox8a
		zgc:153018
		rab11fip2
		ciarta
		si:ch211-244b2.4
		fkbp1aa
		vps25
		adh5
		AL935186.1
		pa2g4b
		npc1
		tiam1a
		tmem144a
		hbae1.3
		scgn
		tnfa
		ube2na
		si:ch211-264f5.6
		ssuh2.4
		rab5b
		snf8
		rgs14a
		C5H9orf16
		nova2
		nme3
		gig2i
		rap2b
		ccdc88b
		znrf2b
		si:ch73-248e21.5
		tcf12
		snx22
		si:ch211-195b13.1
		tradd
		tmem189
		meaf6
		igfbp1a
		rgs5b
		atrx
		tuft1a
		nmt1b
		uap1
		fam49a
		top2b
		tent5ab
		spock3
		ch25h
		ywhaqa
		hdlbpa
		si:ch73-46j18.5
		rpl39
		cox5aa
		irf2a
		tnfaip8l3
		cdc42
		pho
		gng5
		cox7b
		hip1
		rtn1b
		dram1
		tnfrsf1b
		apc
		bcl2l10
		si:rp71-46j2.7
		cox4i1l
		rhag
		si:ch211-136m16.8
		glud1a
		calr3a
		hdac1
		tnrc6c1
		pde7a
		rpl12
		calm3a
		ctnnb2
		sox6
		ifi35
		hbbe1.3
		gse1
		wu:fj29h11
		amdhd2
		C7H19orf12
		spen
		zgc:153115
		gsr
		fahd2a
		si:dkey-27h10.2
		gmppb
		myh11a
		ahcyl1
		si:dkey-44g23.5
		asap2b
		glulb
		mtbl
		ccn1
		si:dkey-183i3.6
		cxcl18b
		tfap2a
		gdap2
		tnfsf10
		vdac1
		sugt1
		fscn1a
		wu:fc75a09
		vps35
		rps27a
		ltb4r
		bpifcl
		nfkbiaa
		phf20b
		hbae1.3.1
		sik2b
		abi1a
		gsto2
		khdrbs1b
		hbbe1.1
		rtn1a
		aqp3a
		zgc:153867
		nucb1
		txnipa
		mapkapk3
		nfil3-5
		cabz01093075.1
		yif1b
		cib1
		mvb12a
		ccng1
		pfdn2
		rnf213b
		tuba1a
		MYADM
		znf865
		ppp1r14bb
		tmem35
		atp6v0cb
		smcr8b
		atp5pb
		fth1a
		tec
		prdx4
		itm2ba
		mlec
		fhod1
		tubb5
		glmp
		zgc:92242
		si:ch211-161c3.6
		ccng2
		BX323861.3
		sptb
		hoxd9a
		ube2v2
		cdkn1ba
		rac1a
		rapgef1a
		si:dkeyp-27c8.2
		rgmb
		ripk2
		cst14b.1
		arhgef10
		snx20
		eef2l2
		CU984600.2
		icn
		atp2b1a
		cxcl8a
		psmb7
		si:ch211-196f2.6
		pmm2
		mt-co1
		dynlt3
		rps27.1
		tpt1
		cox4i1
		pgd
		blk
		fthl31
		ufc1
		ifi45
		snx18a
		prkab1a
		qdpra
		s100a10a
		si:dkey-102m7.3
		mlpha
		snx1a
		rpz2
		xkr8.2
		flii
		mdka
		ms4a17a.11
		fkbp2
		si:dkey-262k9.2
		cbx7a
		vbp1
		pcf11
		atp2b4
		vamp3
		rasgrp4
		ca2
		cdc42se1
		rpl32
		casp7
		tgif1
		si:ch211-244b2.3
		ndfip1l
		cd82a
		nfe2l3
		si:dkeyp-85e10.3
		mrpl36
		ncl
		impa1
		cap1
		nit1
		commd3
		snx17
		cyb561a3a
		cass4
		hsbp1b
		spice1
		add2
		prmt1
		higd1a
		tmem104
		slc45a4b
		ier5
		pik3c2a
		psma6l
		nfil3-6
		vps26b
		ndrg2
		si:ch73-264p11.1
		kdm5bb
		fthl28
		csrp2
		si:ch211-163c2.2
		bcl11ba
		sh2d1ab
		runx3
		psip1b
		rnf44
		setb
		zgc:113314
		efhd1
		rps26l
		mgrn1b
		RPS17
		si:dkey-16l2.20
		traf1
		park7
		macrod2
		sptssa
		eif3m
		srfbp1
		rbbp4
		tnrc6a
		ivns1abpb
		ahr2
		si:ch1073-385f13.3
		rbx1
		tbk1
		capns1b
		ak1
		dcxr
		TOM1L2
		epd
		ap1s2
		ptbp3
		acadvl
		znf503
		tpm1
		tob1a
		cbx5
		gp1bb
		rbbp6
		pabpc1a
		fbxl6
		si:ch73-199g24.2
		appa
		elavl3
		plcg2
		cox8b
		ddit4
		rpl5a
		slc31a1
		adam8a
		nuggc.2
		bcl7bb
		rfesd
		mych
		sox11a
		junbb
		vps33a
		ugt5b2
		slc39a13
		si:ch211-217k17.11
		ostm1
		mlx
		chac1
		xrcc4
		brd3b
		nudt5
		sinhcaf
		pdk2b
		CR392341.4
		pbx4
		vps29
		si:dkey-109a10.2
		hsp90b1
		tnfrsf11a
		birc2
		eef1da
		gpm6aa
		si:ch211-196c10.15
		abce1
		si:ch211-105j21.9
		ahnak
		rnf181
		polr2a
		btg3
		selenof
		vdac2
		myo18ab
		rnasekb
		klf13
		lrpap1
		anp32e
		hsp70.3
		krt18a.1
		btf3
		abhd16a
		mtmr10
		rtca
		fosb
		SGK3
		atf7ip
		nop2
		atp5mc1
		ctps1a
		akt1s1
		vhll
		her9
		h2az2a
		cmtm3
		hbae1.1
		pkma
		si:ch73-42p12.2
		fstl1b
		mdkb
		specc1
		tox2
		si:ch211-137a8.4
		si:ch211-132g1.4
		vps4b
		si:ch73-91k6.2
		spg21
		fbl
		man2b1
		tcp1
		hax1
		ccnl1a
		zgc:152658
		rrs1
		epb41a
		selplg
		slc35a4
		ndufb6
		capn2b
		slc25a20
		rbp4
		arl4ab
		ndufb3
		rpl28
		zgc:194659
		serinc1
		mylipa
		hnrnpa0a
		eif3ea
		cdkn1bb
		prdm1b
		ada
		clk4a
		hmga1a
		mphosph8
		ptges3a
		si:dkey-93h22.7
		impdh2
		ing4
		cct6a
		glipr1a
		hsp70.1
		mdh1aa
		ddit3
		eml3
		gnpda2
		irgf1
		si:dkey-85k7.12
		dido1
		itgb7
		twf1b
		lonrf1l
		jam3b
		lysmd2
		sik1
		Sep-03
		rasal3
		znf1035
		cdc42ep5
		tnfrsf1a
		lrp12
		zbtb32
		vamp2
		sirt2
		ppip5k1b
		BX321875.2
		slc38a5b
		rnf128a
		spns2
		pik3r3b
		mapkapk2a
		si:ch211-281g13.4
		nipsnap3a
		C7H16orf87
		sqstm1
		wnk4b
		gtpbp1
		disc1
		fam168a
		zgc:193541
		zswim5
		si:ch211-66e2.3
		rbm24a
		mid1ip1b
		actr2b
		angptl4
		si:ch211-218c6.8
		fbxl3a
		gnl3
		bcl10
		prpsap2
		tfr1a
		sesn3
		rpl14
		cox6a1
		oaz1a
		psme1
		si:dkey-42i9.4
		faua
		BX897691.1
		dapk1
		ccdc85b
		tardbp
		spint1a
		klhl24b
		zgc:174888
		mxa
		psat1
		lima1a
		cyfip2
		eef1a1l1
		flrt1b
		FO704772.3
		slc1a3a
		rnf10
		cpe
		sptan1
		CT583625.5
		rgcc
		fam133b
		setbp1
		tuba1c
		crema
		nkain1
		prcp
		cox6b2
		b3gnt3.4
		hbbe2
		ube2v1
		polr2l
		kmt2cb
		ap1m1
		bloc1s3
		hbae5
		hbegfa
		si:ch1073-220m6.1
		tfdp2
		pik3ap1
		plecb
		bpgm
		wdr43
		ankrd11
		csk
		rps14
		Sep-06
		ZC3H12A
		crebzf
		nhp2
		sumo3b
		slc2a3b
		irak4
		pdgfab
		vwa5a
		slc20a2
		phactr3a
		si:ch211-178n15.1
		tcf3b
		gpr137ba
		il34
		ndufs2
		myt1a
		hmgb2b
		nlrc3
		arhgap5
		tmem59
		bnip3lb
		ppa1b
		akr1b1.1
		atp5meb
		gpr183a
		dlx2a
		uros
		slc38a2
		nadka.1
		gmps
		kcnk5b
		rab14
		ndufa4l
		eif5a2
		hepacam2
		slc20a1a
		plk2b
		mob3a
		stxbp2
		hsp70.2
		tmem243a
		il4r.2
		gmppab
		znf292a
		commd8
		rpl36a
		ifit8
		SERP1
		ndufa4
		si:dkey-111e8.5
		syngr3b
		nsl1
		p4hb
		txnrd3
		bcl7ba
		si:dkey-33c12.4
		zgc:92140
		sema4ab
		aplp1
		sh3pxd2b
		nop53
		arhgef12b
		rpl7a
		tpm3
		cry3a
		adipor2
		clcn5b
		ehbp1l1b
		sem1
		glsb
		sec61a1
		ppm1ab
		ptena
		CABZ01046432.1
		pim3
		baz1a.1
		iqgap1
		dpysl3
		tkfc
		pim2
		SENP7
		rpl22l1
		nab1a
		tp53inp2
		prkx
		arhgap27l
		snx27a
		mmp13a
		stx1b
		snd1
		brk1
		rsl1d1
		helz2
		kdm1a
		slc38a6
		si:ch211-15b10.6
		flvcr2b
		gpx4a
		rbfox2
		cx43.4
		si:dkey-200l5.4
		il7r
		nuak1b
		dpf2
		mrps18b
		hps5
		ubl7b
		acaa1
		si:ch211-235e9.6
		sltm
		bmpr2a
		zgc:165573
		ank2b
		ppan
		tomm40l
		mt-co2
		fam214a
		klf6a
		cadm4
		defbl1
		pnn
		tram1
		arhgap42a
		hif1al2
		vrk2
		rabl6b
		lsp1a
		sfpq
		uqcrfs1
		tnfrsf18
		si:dkeyp-75h12.7
		pgp
		dnaja2b
		oga
		serpinb14
		map3k14a
		si:dkey-185m8.2
		khdrbs1a
		tshz2
		eif4ebp2
		znrf1
		plcb3
		afap1l1b
		ldha
		kdm2ba
		rbm5
		foxo4
		stx4
		vdac3
		hnrnpa0l.1
		myl6
		phyh
		cnbpb
		myt1b
		trib2
		susd1
		kansl1b
		nat16
		map1lc3b
		rbm39a
		pde3b
		gng3
		atp1b2a
		vegfaa
		ube2e3
		tmed8
		fez1
		h3f3c
		hbp1
		cltca
		edem1
		CR759843.2
		ilk
		fam120a
		zgc:66433
		sinhcafl.1
		tmeff1b
		tnikb
		atp5po
		tsc22d1
		rfxank
		uri1
		phyhd1
		arf1
		tenm3
		rps7
		FP085398.1
		irf2
		col1a2
		syt1a
		irf2bpl
		ccdc22
		vim
		zgc:86598
		si:ch211-203d1.3
		cnn3a
		srp19
		vdrb
		si:dkeyp-113d7.1
		elavl4
		dnajb1b
		ptgdsb.2
		zfp36l1a
		grhpra
		ube2g2
		alox5b.3
		tspan3a
		eif3ba
		pptc7a
		capzb
		rhd
		col5a1
		fam117ab
		pitpnb
		ankrd12
		kif26ba
		rex1bd
		zgc:113184
		mrpl24
		prdx2
		inppl1a
		mgst3b
		mast2
		galt
		tns1b
		etv5b
		foxo3b
		idh3a
		b3gnt5a
		tspan2a
		fam162a
		smg6
		zgc:158343
		cavin2b
		lims1
		ciita
		nrxn1a
		srsf10b
		rab1ba
		atg9b
		hnrnpr
		acadl
		rnaset2
		rhoaa
		pdlim1
		ndrg4
		cav1
		kdm8
		eif5
		smdt1a
		mthfd2
		si:ch211-165d12.4
		ctdsp2
		rab32a
		tbc1d1
		fam107b
		fut8a
		ucp3
		si:dkey-261h17.1
		prps1a
		sox11b
		dynll2b
		sox4b
		gsta.1
		ptpn4b
		phgdh
		zgc:171506
		srsf4
		tat
		rin2
		hspe1
		parp8
		sox2
		tpk1
		ap2a1
		slc29a1a
		si:ch73-234b20.5
		lhfpl2a
		BX322587.1
		nolc1
		f11r.1
		nucks1b
		nap1l1
		fthl30
		fthl27
		gpr137c
		rbfox1
		marcksl1b
		rack1
		ndufb2
		si:cabz01102082.1
		adcyap1b
		slc25a32a
		rab11fip3
		fkbp4
		tmem9b
		rps21
		trappc6b
		cspg5a
		kmt2a
		cd83
		ss18
		rcc2
		prr12b
		adgrg1.1
		prpf38b
		smarcd1
		zgc:162698
		sypa
		stox2b
		maptb
		mt-cyb
		cdca7b
		vps36
		dnmt3ab
		si:ch211-284f22.3
		lck
		rpl13a
		tmem120a
		sat1b
		cbr1l
		stx10.1
		psmb3
		dab2ipa
		noc2l
		psmb6
		ywhag1
		si:dkey-183p4.10
		plpp3
		rcl1
		dnajc5aa
		chd6
		mtch2
		per2
		tal1
		sncb
		castor2
		arid5a
		commd7
		hbbe1.2
		fubp1
		tmed2
		cst14b.2
		rpp14
		uqcrh
		BX284638.2
		rab5if
		mkrn1
		slc6a9
		acsl4b
		psmc3
		glb1
		calcoco2
		os9
		pik3ip1
		ophn1
		bach1a
		srpra
		kmt2ba
		ncor2
		clstn1
		fzd2
		letm2
		klf1
		si:dkey-222f8.3
		si:dkeyp-120h9.1
		gpsm2l
		prkcq
