Positive Melanoma Markers	Positive Brain melanoma Markers	All Distinguishing Markers
si:dkey-151g10.6	paics	zgc:171772
psmd7	fam3a	arpc2
plk2b	rln1	dedd1
cxxc5a	rangap1a	selenow1
nme3	atp1b2a	mitfa
polr2d	znrd2	selenoj
top2b	rfc3	itm2ba
acp1	cks2	rpl8
zgc:92242	slc7a3a	hmgn3
npm3	klf2a	ppiaa
FQ377660.1	manf	rps8a
cks1b	atf5b	rpl6
tomm40l	farsb	ptpn6
syt11a	coro1a	cdkn1bb
psmd13	pycr1b	mrpl36
hgs	fli1b	csrp2
tmem243a	adgrg1.1	pcbd1
srfbp1	slc4a1a	si:ch211-165d12.4
rpl10	smc2	per3
ppa1b	ppifb	si:dkey-262k9.4
si:dkey-200l5.4	MZT1	si:dkey-177p2.6
psmc1b	eef1a1a	clic2
rplp1	ddx47	psma6b
pprc1	mrps18a	tob1a
dlx2a	mdkb	psmb8a
emd	txndc15	tagln2
fkbp4	si:ch211-105j21.9	mhc1zba
lysmd2	nap1l4a	capgb
map7d1b	zgc:153426	rhoab
riok1	spata5l1	si:ch211-153b23.7
cdca7b	ptgdsb.1	tox
defbl1	mtx2	fbl
si:ch211-197g15.6.1	tnksa	abce1
si:ch1073-185p12.2	eprs1	nudc
dut	apoc1	pa2g4b
atl3	rac2	ctss2.2
rab32a	haus7	fthl31
rab5if	tpst1l	foxo1a
nolc1	serpine2	grap2b
seh1l	hs3st3b1b	phactr3a
nfe2l3	cgref1	tubb2b
bxdc2	TAGAP	pfdn4
slc39a7	arpp21	gnai2a
trim35-14	lman2	lxn
rrm2.1	l2hgdh	atp2b1a
psmg1	polr3gla	pde4ba
ralab	atic	tob1b
si:dkey-97a13.6	fbxo5	fcer1g
hoxc11a	mat1a	bcl2l10
chchd10	hspa14	bida
dnajb1a	si:dkey-11f4.20	si:ch211-212k18.7
asf1ba	rpn1	eif6
flrt1b	si:dkey-217l24.1	ctss2.1
metap1	si:ch73-335l21.4	arhgap45b
znf503	tmed9	h3f3b.1
efhd1	cahz	si:ch1073-184j22.1
phactr3a	hbaa2	pim1
noc2l	myb	si:dkey-185m8.2
mad2l1	erp44	gadd45ba
jam3b	cdipt	hypk
si:ch211-196f19.1.1	FP325123.1	si:ch211-227m13.1
si:ch211-183d5.2	lonp1	fcer1gl
si:ch211-145c1.1	hbba2	spi1b
czib	ebag9	si:dkey-262k9.2
hat1	si:ch73-368j24.11	psmb12
mrpl53	elavl3	rap1b
timm8b	dtd1	chac1
ehd1b	hadhb	rnf10
hsd17b10	cdkn3	ENSDARG00000012458
ube2t	dlgap5	yars1
rarres3	cox15	pim2
gpnmb	dck	pde7a
mrpl9	b3gnt5a	ankrd12
hoxc11b	diablob	si:ch211-102c2.4
ifit10	atp1a1b	hcls1
kifc1	galm	romo1
nusap1	zgc:162730	dlx2a
gcsha	tenm3	rpl10a
kcnk5b	si:dkey-185m8.2	pmaip1
phyhd1	pdhx	stk17al
si:dkey-21a6.5	s1pr1	s100a10b
bop1	emc7	hmgn2
cav1	ska1	lmo2
arhgef33	haus1	mcl1a
